item,itemLabel,ministry,ministryLabel,country,jurisdiction,began,ended,holders
Q111954002,Deputy Prime Minister of Lebanon,,,Q822,Q822,,,8
Q114286181,Minister of Agriculture,Q64729583,Ministry of Agriculture,,Q822,,,5
Q25820215,Minister of Culture of Lebanon,Q6866714,Ministry of Culture,Q822,Q822,1995,,4
Q53261455,Minister of Defence of Lebanon,Q6421165,Ministry of National Defense,Q822,Q822,,,12
Q114287636,Minister of Economy and Trade,Q62745211,Ministry of Economy and Trade,,Q822,,,12
Q79199745,Minister of Education and Higher Education,,,Q822,,,,5
Q112056418,Minister of Electrical and Water Resources,Q64729530,Ministry of Electrical and Water Resources of Lebanon,Q822,Q822,,,1
Q114285978,Minister of Energy and Water of Lebanon,Q98274913,Ministry of Energy and Water,,Q822,,,2
Q114287637,Minister of Finance,Q6866941,Ministry of Finance,,Q822,,,10
Q53260076,Minister of Foreign Affairs of Lebanon,Q6867045,Ministry of Foreign Affairs and Emigrants,Q822,Q822,1941,,17
Q114287658,Minister of Industry of Lebanon,,,Q822,Q822,,,4
Q73432426,Minister of Information of Lebanon,,,Q822,Q822,1949,,7
Q72548737,Minister of Justice,Q6867305,Ministry of Justice,,Q822,,,2
Q114286280,Minister of Labour of Lebanon,Q47109030,Ministry of Labour of Lebanon,,Q822,,,3
Q61695272,"Minister of National Education, Youth, and Sports of Lebanon",,,Q822,Q822,,,2
Q114287648,Minister of Public Health of Lebanon,Q98382765,Ministry of Public Health of Lebanon,,Q822,,,5
Q114287653,Minister of Public Works and Transport,Q6867482,Ministry of Public Works and Transport,,Q822,,,2
Q114287654,Minister of Social Affairs,Q6867543,Ministry of Social Affairs,,Q822,,,5
Q114287650,Minister of State for Administrative Reform,Q7079387,Office of the Minister of State for Administrative Reform,,Q822,,,1
Q114285944,Minister of Telecommunications of Lebanon,Q16910250,Ministry of Telecommunications (Lebanon),,Q822,,,3
Q114287656,Minister of Tourism,Q6867577,Ministry of Tourism,,Q822,,,1
Q114287764,Minister of Youth and Sports of Lebanon,,,Q822,Q822,,,1
Q113130323,Minister of the Displaced,Q64729585,Ministry of the Displaced of Lebanon,Q822,Q822,,,5
Q30306351,Minister of the Environment,,,Q822,Q822,,,2
Q105164607,Minister of the Interior and Municipalities of Lebanon,Q6867240,Ministry of Interior and Municipalities,Q822,Q822,1943,,5
Q64729530,Ministry of Electrical and Water Resources of Lebanon,,,Q822,Q822,1966,,0
Q14915225,Prime Minister of Lebanon,,,Q822,Q822,1926,,37
