position,person,personID,start,end
President,Émile Lahoud,Q206479,1998-11-24,2007-11-24
President,Fouad Siniora,Q314263,2007-11-23,2008-05-25
President,Michel Suleiman,Q57427,2008-05-25,2014-05-24
President,Tammam Salam,Q3514836,2014-05-25,2016-10-31
President,Michel Aoun,Q363392,2016-10-31,
Prime Minister,Selim al-Hoss,Q2094707,1998-12-06,2000-10-23
Prime Minister,Rafic Hariri,Q192778,2000-10-23,2004-10-21
Prime Minister,Omar Karami,Q396606,2004-10-26,2005-04-19
Prime Minister,Najib Mikati,Q318493,2005-04-15,2005-07-19
Prime Minister,Fouad Siniora,Q314263,2005-07-19,2009-11-09
Prime Minister,Saad Hariri,Q296771,2009-11-09,2011-06-13
Prime Minister,Najib Mikati,Q318493,2011-06-13,2014-02-15
Prime Minister,Tammam Salam,Q3514836,2014-02-15,2016-12-18
Prime Minister,Saad Hariri,Q296771,2016-12-18,2019-10-29
Prime Minister,Hassan Diab,Q5679624,2019-12-19,2020-08-10
Prime Minister,Hassan Diab,Q5679624,2020-08-10,2021-09-10
Prime Minister,Najib Mikati,Q318493,2021-09-10,
Minister of Culture,Ghassan Salamé,Q330587,2000,2003
Minister of Culture,Tammam Salam,Q3514836,2008-07-11,2009-11-09
Minister of Defence,Mahmoud Hammoud,Q319983,2003-04-17,2005-07-19
Minister of Defence,Fayez Ghosn,Q3455975,2011-06-13,2014-02-15
Minister of Defence,Maurice Sleem,Q108504532,2021-09-10,
Minister of the Displaced,Raymond Audi,Q2081667,2008-07-11,2009-11-09
Minister of Education and Higher Education,Hassan Diab,Q5679624,2011-06-13,2014-02-15
Minister of Electrical and Water Resources,Muhammad Baydoun,Q251878,2000-10-26,2003-04-17
Minister of the Environment,Nasser Yassine,Q108508045,2021-09-10,
Minister of Foreign Affairs,Mahmoud Hammoud,Q319983,2000-10-26,2003-04-17
Minister of Foreign Affairs,Jean Obeid,Q3173769,2003-04-17,2004-10-26
Minister of Foreign Affairs,Gebran Bassil,Q2737847,2014-02-15,2020-01-21
Minister of Foreign Affairs,Nassif Hitti,Q20423714,2020-01-21,2020-08-03
Minister of Foreign Affairs,Charbel Wehbe,Q98067735,2020-08-03,2021-05-19
Minister of Foreign Affairs,Abdallah Bou Habib,Q108504531,2021-09-10,
Minister of Information,George Kordahi,Q4165335,2021-09-10,
Minister of the Interior and Municipalities,Michel Murr,Q1738970,1994-02-09,2000-10-26
Minister of the Interior and Municipalities,Bassam Mawlawi,Q108504533,2021-09-10,
Minister of Justice,Henri Khoury,Q108504530,2021-09-10,
Governor of the Bank of Lebanon,Riad Salameh,Q3362882,1993-08-01,
Deputy Speaker of the Parliament,Farid Makari,Q3066903,2005-06-05,2018-05-06
ambassador to the United Kingdom,Rami Mortada,Q97054975,2017,
ambassador,Khalid Ziyada,Q12210092,2007,2016
Commander of the Lebanese Armed Forces,Michel Aoun,Q363392,1984-06-23,
