id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q108504530,Henri Khoury,male,1951-02-27,11,,,,
Q108504531,Abdallah Bou Habib,male,1941-11-21,11,,,,Abdallah Bou Habib
Q108504532,Maurice Sleem,male,1954-02-05,11,,,,Maurice Sleem
Q108504533,Bassam Mawlawi,male,1968,9,,,,
Q108508045,Nasser Yassine,male,1970,9,,,,
Q12210092,Khalid Ziyada,male,1952,9,,,,
Q1250858,Dory Chamoun,male,1931-11-08,11,,,,Dory Chamoun
Q1738970,Michel Murr,male,1932-09-29,11,2021-01-31,11,,Michel Murr
Q192778,Rafic Hariri,male,1944-11-01,11,2005-02-14,11,Rafic Hariri in 2001.jpg,Rafic Hariri
Q20423714,Nassif Hitti,male,,7,,,Dr. Nassif Hitti.jpg,Nassif Hitti
Q206479,Émile Lahoud,male,1936-01-12,11,,,Lebanon.EmileLahoud.01.jpg,Émile Lahoud
Q2081667,Raymond Audi,male,1932-10-06,11,2022-07-15,11,,Raymond Audi
Q2094707,Selim al-Hoss,male,1929-12-20,11,,,Salim el-Hoss Axis for Peace 2005-11-17.jpg,Selim Hoss
Q251878,Muhammad Baydoun,male,1952-02-05,11,2022-05-17,11,,Muhammad Baydoun
Q2737847,Gebran Bassil,male,1970-06-21,11,,,Lebanese Foreign Minister Gebran Bassil (cropped).jpg,Gebran Bassil
Q2821159,Abdel Latif El Zein,male,1932-11-23,11,2019-05-26,11,Abdel Latif El Zein.jpg,Abdel Latif El Zein
Q296771,Saad Hariri,male,1970-04-18,11,,,Saad Hariri (cropped).jpg,Saad Hariri
Q3047466,Edgar Maalouf,male,1934-03-21,11,2018-12-28,11,,Edgar Maalouf
Q3066903,Farid Makari,male,1947-10-24,11,2022-08-17,11,,Farid Makari
Q314263,Fouad Siniora,male,1943-04-14,11,,,Fouad Sinora.jpg,Fouad Siniora
Q3173769,Jean Obeid,male,1939-05-08,11,2021-02-08,11,Jean Obeid - 1988.jpg,Jean Obeid
Q318493,Najib Mikati,male,1955-11-24,11,,,Miktai.jpg,Najib Mikati
Q319983,Mahmoud Hammoud,male,1935,9,2018-05-08,11,,Mahmoud Hammoud (politician)
Q330587,Ghassan Salamé,male,1951,9,,,Paris - Salon du livre 2012 - Ghassan Salamé - 010.jpg,Ghassan Salamé
Q3362882,Riad Salameh,male,1950-07-17,11,,,Governor of Banque Du Liban.jpg,Riad Salameh
Q3384605,Pierre Daccache,male,1928-12-11,11,2022-04-18,11,,
Q3435215,Robert Ghanem,male,1942-05-08,11,2019-02-10,11,,Robert Ghanem
Q3455975,Fayez Ghosn,male,1950-06-28,11,2021-11-22,11,,Fayez Ghosn
Q3470835,Samir Frangieh,male,1945-04-12,11,2017-04-11,11,Paris - Salon du livre 2012 - Samir Frangié - 004.jpg,Samir Frangieh
Q3514836,Tammam Salam,male,1945-05-13,11,,,Tammam Salam.jpg,Tammam Salam
Q363392,Michel Aoun,male,1933-09-30,11,,,Michel Aoun with Putin 1 (cropped).jpg,Michel Aoun
Q396606,Omar Karami,male,1934-09-07,11,2015-01-01,11,Omar Karami.png,Omar Karami
Q4165335,George Kordahi,male,1950-05-01,11,,,George Kurdahi.jpg,George Kordahi
Q4695381,Ahmad Karami,male,1944-02-28,11,2020-07-05,11,,Ahmad Karami
Q56640421,Sami Fatfat,male,1989,9,,,,
Q5679624,Hassan Diab,male,1959-06-01,11,,,"Hassan Diab, February 2020 (cropped).jpg",Hassan Diab
Q57427,Michel Suleiman,male,1948-11-21,11,,,Michel Suleiman.jpg,Michel Suleiman
Q67846940,Taymur Jumblatt,male,1982,9,,,,Taymur Jumblatt
Q7154798,Paula Yacoubian,female,1976-04-04,11,,,"Paula Yacoubian, It's About Time, MTV Lebanon - Feb 2, 2020.jpg",Paula Yacoubian
Q97054975,Rami Mortada,male,1970,9,,,,
Q98067735,Charbel Wehbe,male,1953-07-15,11,,,,Charbel Wehbe
